"MachineName","LogName","TimeCreated","LevelDisplayName","ProviderName","Id","Message"
"SFBKAMEHAMEHA","Application","5/4/2018 8:29:32 AM",,"MSOLAP$AnalysisServicesWorkspace492514388","11",
"SFBKAMEHAMEHA","System","5/4/2018 7:40:34 AM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","System","5/4/2018 7:36:51 AM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","System","5/4/2018 7:31:39 AM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","System","5/4/2018 7:26:20 AM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","Application","5/4/2018 7:20:41 AM","Error","Microsoft-Windows-Security-SPP","8198","License Activation (slui.exe) failed with the following error code:#
hr=0x8007007B#
Command-line arguments:#
RuleId=502ff3ba-669a-4674-bbb1-601f34a3b968;Action=AutoActivateSilent;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=73111121-5638-40f6-bc11-f1d7b0d64300;NotificationInterval=1440;Trigger=TimerEvent"
"SFBKAMEHAMEHA","Application","5/4/2018 7:17:24 AM","Error","Microsoft-Windows-Security-SPP","8198","License Activation (slui.exe) failed with the following error code:#
hr=0x8007007B#
Command-line arguments:#
RuleId=502ff3ba-669a-4674-bbb1-601f34a3b968;Action=AutoActivateSilent;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=73111121-5638-40f6-bc11-f1d7b0d64300;NotificationInterval=1440;Trigger=NetworkAvailable"
"SFBKAMEHAMEHA","Application","5/4/2018 7:17:05 AM","Error","Microsoft-Windows-Security-SPP","8198","License Activation (slui.exe) failed with the following error code:#
hr=0x8007007B#
Command-line arguments:#
RuleId=502ff3ba-669a-4674-bbb1-601f34a3b968;Action=AutoActivateSilent;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=73111121-5638-40f6-bc11-f1d7b0d64300;NotificationInterval=1440;Trigger=NetworkAvailable"
"SFBKAMEHAMEHA","System","5/4/2018 7:15:11 AM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","Application","5/4/2018 7:12:51 AM","Error","Microsoft Office 16","2011","Office Subscription licensing exception: Error Code: 0x80070057; CorrelationId: {7A0E923C-A0C1-4B70-8C02-A46519427F13}"
"SFBKAMEHAMEHA","Application","5/4/2018 7:12:49 AM","Error","Microsoft-Windows-Security-SPP","8198","License Activation (slui.exe) failed with the following error code:#
hr=0x8007267C#
Command-line arguments:#
RuleId=502ff3ba-669a-4674-bbb1-601f34a3b968;Action=AutoActivateSilent;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=73111121-5638-40f6-bc11-f1d7b0d64300;NotificationInterval=1440;Trigger=UserLogon;SessionId=3"
"SFBKAMEHAMEHA","System","5/3/2018 9:35:22 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","Application","5/3/2018 7:48:46 PM",,"MSOLAP$AnalysisServicesWorkspace30080674","11",
"SFBKAMEHAMEHA","System","5/3/2018 7:43:04 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","System","5/3/2018 7:41:46 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","System","5/3/2018 7:26:45 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","System","5/3/2018 7:11:44 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","System","5/3/2018 6:56:43 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","Application","5/3/2018 6:29:04 PM",,"Office 2016 Licensing Service","0",
"SFBKAMEHAMEHA","Application","5/3/2018 6:21:14 PM",,"MSOLAP$AnalysisServicesWorkspace1681331813","11",
"SFBKAMEHAMEHA","Application","5/3/2018 6:08:18 PM",,"MSOLAP$AnalysisServicesWorkspace210293188","11",
"SFBKAMEHAMEHA","System","5/3/2018 6:02:36 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","Application","5/3/2018 5:54:08 PM",,"MSOLAP$AnalysisServicesWorkspace551744453","11",
"SFBKAMEHAMEHA","System","5/3/2018 5:54:00 PM","Error","Microsoft-Windows-DistributedCOM","10016","The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{9BA05972-F6A8-11CF-A442-00A0C90A8F39}#
 and APPID #
{9BA05972-F6A8-11CF-A442-00A0C90A8F39}#
 to the user SFBKAMEHAMEHA\SammyKrosoft SID (S-1-5-21-2853432683-2519596650-3897817174-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","Application","5/3/2018 5:49:17 PM","Error","Microsoft-Windows-Security-SPP","8198","License Activation (slui.exe) failed with the following error code:#
hr=0x8007007B#
Command-line arguments:#
RuleId=502ff3ba-669a-4674-bbb1-601f34a3b968;Action=AutoActivateSilent;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=73111121-5638-40f6-bc11-f1d7b0d64300;NotificationInterval=1440;Trigger=UserLogon;SessionId=2"
"SFBKAMEHAMEHA","System","5/3/2018 5:49:07 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","Application","5/3/2018 5:48:15 PM","Error","Microsoft-Windows-Security-SPP","8198","License Activation (slui.exe) failed with the following error code:#
hr=0x8007007B#
Command-line arguments:#
RuleId=502ff3ba-669a-4674-bbb1-601f34a3b968;Action=AutoActivateSilent;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=73111121-5638-40f6-bc11-f1d7b0d64300;NotificationInterval=1440;Trigger=NetworkAvailable"
"SFBKAMEHAMEHA","System","5/3/2018 5:48:10 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","System","5/3/2018 5:43:08 PM","Error","Microsoft-Windows-DistributedCOM","10010","The server {0002DF02-0000-0000-C000-000000000046} did not register with DCOM within the required timeout."
"SFBKAMEHAMEHA","System","5/3/2018 5:43:08 PM","Error","Microsoft-Windows-DistributedCOM","10010","The server {0002DF02-0000-0000-C000-000000000046} did not register with DCOM within the required timeout."
"SFBKAMEHAMEHA","System","5/3/2018 4:58:48 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","System","5/3/2018 4:57:40 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user SFBKAMEHAMEHA\SammyKrosoft SID (S-1-5-21-2853432683-2519596650-3897817174-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","System","5/3/2018 3:37:11 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","System","5/3/2018 3:22:09 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"SFBKAMEHAMEHA","Application","5/3/2018 3:17:00 PM","Error","MsiInstaller","10005","Product: Azure Information Protection Client Dogfood Tool -- A newer version of Azure Information Protection Client Dogfood Tool is already installed."
"SFBKAMEHAMEHA","Application","5/3/2018 3:16:52 PM","Error","MsiInstaller","10005","Product: Azure Information Protection Client Dogfood Tool -- A newer version of Azure Information Protection Client Dogfood Tool is already installed."
"SFBKAMEHAMEHA","Application","5/3/2018 3:16:45 PM","Error","MsiInstaller","10005","Product: Azure Information Protection Client Dogfood Tool -- A newer version of Azure Information Protection Client Dogfood Tool is already installed."
"SFBKAMEHAMEHA","System","5/3/2018 3:07:07 PM","Error","Microsoft-Windows-DistributedCOM","10016","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID #
{D63B10C5-BB46-4990-A94F-E40B9D520160}#
 and APPID #
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}#
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
